Algorithm,Best Config,Mean Reward,Std Reward,Training Time (s)
DQN,dqn_small_buffer,11.975,23.5438288092655,73.09604334831238
PPO,ppo_deep_net,14.3,22.737853900489377,137.24434518814087
A2C,a2c_low_gamma,-0.175,21.583717821543164,140.967511177063
REINFORCE,reinforce_low_gamma,-7.85,15.271787714606305,14.87663745880127
